File,Link
./docs/Chaillard_final-report.md,https://github.com/cu-mkp/manuscript-object/tree/v1.0-danachaillard/word_clouds
./docs/Chaillard_final-report.md,Chaillard_wordclouds.md
./docs/Chaillard_final-report.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/animal.png?raw=true
./docs/Chaillard_final-report.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/vocabulary_abstraction.ipynb
./docs/Chaillard_final-report.md,Chaillard_trees.md
./docs/Chaillard_final-report.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/vocabulary_abstraction.ipynb
./docs/Chaillard_final-report.md,https://github.com/cu-mkp/manuscript-object/tree/v1.0-danachaillard/Sentence_encode
./docs/Chaillard_final-report.md,Sentence_encode_dual.html
./docs/Chaillard_final-report.md,https://nbviewer.jupyter.org/github/cu-mkp/manuscript-object/blob/5abf324616dc9f6d3eb93301c3035b8da6c48861/Elmo_contextual_embeddings.ipynb
./docs/Chaillard_trees.md,/sandbox/docs/Chaillard_final-report
./docs/Chaillard_trees.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds.py
./docs/Chaillard_trees.md,https://github.com/cu-mkp/manuscript-object/tree/v1.0-danachaillard/word_clouds
./docs/Chaillard_trees.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/vocabulary_abstraction.ipynb
./docs/Chaillard_wordclouds.md,/sandbox/docs/Chaillard_final-report
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds.py
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/tree/v1.0-danachaillard/word_clouds
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/animal.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/body_part.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/currency.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/environment.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/material.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/measurement.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/medical.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/music.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/personal_name.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/place.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/plant.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/profession.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/sensory.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/time.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/tool.png?raw=true
./docs/Chaillard_wordclouds.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds/weapon.png?raw=true
./docs/dyes-assignment.md,rosenkranz_2019-april_dyes_cochineal-history-chem-prep.pdf
./docs/dyes-assignment.md,rosenkranz_2018_dyes_cochineal-step-by-step.pdf
./docs/dyes-assignment.md,rosenkranz_2019_dyes_handout_general-mordant-and-dye-processes.pdf
./docs/dyes-assignment.md,rosenkranz_2018_dyes_handout_dyeing-with-cochineal.pdf
./docs/dyes-assignment.md,rosenkranz_2019_dyes_handout_reconstruction-exchange_dyeing-with-natural-colorants.pdf
./docs/dyes-assignment.md,http://refashioningrenaissance.eu/
./docs/dyes-assignment.md,rosenkranz_2019_dyes_TEMPLATE-AND-RECIPES_dye-experiments.xlsx
./docs/dyes-assignment.md,https://photos.app.goo.gl/3oVnsawjQkq3JNCX7
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://www.thoughtco.com/definition-of-ph-in-chemistry-604605
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://doi.org/10.1163/15733823-02046p11
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://edition640.makingandknowing.org/#/folios/43v/f/43v/tl
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://www.youtube.com/watch?v=pdEbMBe0aa8
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://www.thoughtco.com/definition-of-ph-in-chemistry-604605
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://www.usgs.gov/special-topics/water-science-school/science/ph-and-water?qt-science_center_objects=0#qt-science_center_objects
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://edition640.makingandknowing.org/#/
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://www.doi.org/10.7916/rfq6-0k88
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://doi.org/10.7916/6b6c-vt11
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://cu-mkp.github.io/sandbox/
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://fieldnotes.makingandknowing.org/pre-2018-Fall/fa21_alberts_naomi_varied-trans-wine/fa21_alberts_naomi_variedtranswine.html
./docs/fa21_alberts_naomi_final-project_ph-lesson.md,https://flic.kr/s/aHsmXghYKW
./docs/fa21_coutavas_allie_final-project-reds.md,https://edition640.makingandknowing.org/#/essays/ann_060_fa_17
./docs/fa21_coutavas_allie_final-project-reds.md,https://edition640.makingandknowing.org/#/essays/ann_321_ie_19
./docs/fa21_coutavas_allie_final-project-reds.md,https://edition640.makingandknowing.org/#/essays/ann_037_sp_16
./docs/fa21_coutavas_allie_final-project-reds.md,https://edition640.makingandknowing.org/#/essays/ann_309_ie_19
./docs/fa21_coutavas_allie_final-project-reds.md,https://edition640.makingandknowing.org/#/essays/ann_321_ie_19
./docs/fa21_coutavas_allie_final-project-reds.md,https://edition640.makingandknowing.org/#/essays/ann_034_sp_16
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/36v/f/36v/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/162r/f/162r/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/21v/f/21v/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/43v/f/43v/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,../data/fa21_ghoneima_hana_final-project_tl_say.xlsx
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,../data/fa21_ghoneima_hana_final-project_tl_said.xlsx
